numero_clientes,numero_servidores,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg,Throughput_medio,tempo_resposta_servidor
1,1,5,0.03874,0.03874,0.00775,129.07132,0.001
2,1,5,0.01385,0.006925,0.001385,722.74577,0.00083
3,1,5,0.02091,0.0069700000000000005,0.0013966666666666667,717.7613566666665,0.00071
4,1,5,0.03258,0.008145,0.0016275,614.482535,0.0009199999999999999
5,1,5,0.05119,0.010238,0.002048,492.380704,0.001178
6,1,5,0.054560000000000004,0.009093333333333333,0.0018199999999999998,555.7639916666667,0.000945
7,1,5,0.08014,0.01144857142857143,0.00229,439.20124857142855,0.0012385714285714285
8,1,5,0.09167,0.01145875,0.0022925000000000003,439.1654625,0.0013675
9,1,5,0.14356,0.01595111111111111,0.003191111111111111,314.7160133333333,0.001697777777777778
10,1,5,0.14566,0.014566,0.0029140000000000004,346.68703100000005,0.001742
11,1,5,0.16672,0.015156363636363636,0.0030318181818181815,331.24826727272733,0.0018090909090909093
12,1,5,0.22725,0.0189375,0.003786666666666667,265.6549383333333,0.0020733333333333337
13,1,5,0.25781,0.01983153846153846,0.003964615384615384,253.9046307692308,0.0022107692307692306
14,1,5,0.29128,0.020805714285714285,0.004160714285714286,242.58348285714285,0.0025592857142857145
15,1,5,0.27799,0.018532666666666666,0.0037066666666666667,271.3930046666666,0.0021653333333333333
16,1,5,0.33991,0.021244375,0.00424875,237.384126875,0.00254375
17,1,5,0.37388000000000005,0.02199294117647059,0.004398235294117646,228.6547211764706,0.002685294117647059
18,1,5,0.40143999999999996,0.02230222222222222,0.004461111111111112,226.4996016666667,0.002646666666666667
19,1,5,0.45583999999999997,0.02399157894736842,0.004799473684210527,211.08693368421052,0.0029815789473684206
20,1,5,0.41507000000000005,0.0207535,0.004149999999999999,246.04372000000004,0.0024845
21,1,5,0.51885,0.024707142857142858,0.004939999999999999,206.17618000000004,0.002797619047619048
22,1,5,0.5602100000000001,0.025464090909090912,0.005092727272727273,199.1564931818182,0.0030068181818181817
23,1,5,0.60739,0.026408260869565218,0.005281304347826087,191.78287391304355,0.0029821739130434784
24,1,5,0.63815,0.026589583333333333,0.00531875,191.06397,0.003160416666666667
25,1,5,0.77711,0.031084399999999998,0.0062176,163.0503344,0.0034652
26,1,5,0.7879999999999999,0.030307692307692306,0.006062307692307692,168.69267192307692,0.0035273076923076924
27,1,5,0.80945,0.02997962962962963,0.005995555555555556,169.68459444444446,0.003452962962962963
28,1,5,0.84997,0.03035607142857143,0.006071071428571427,171.2396889285714,0.0037214285714285713
29,1,5,0.9618599999999999,0.03316758620689655,0.006633793103448276,153.6339675862069,0.0037355172413793113
30,1,5,1.03143,0.034381,0.006875999999999999,146.668643,0.003421666666666666
31,1,5,1.02413,0.03303645161290322,0.0066067741935483875,155.27899451612902,0.003853225806451613
32,1,5,0.9765699999999999,0.030517812499999998,0.0061034374999999995,168.1975846875,0.0033856249999999997
33,1,5,1.2088600000000003,0.03663212121212122,0.007326969696969696,138.76948454545453,0.0042478787878787875
34,1,5,1.2403899999999999,0.03648205882352941,0.007296470588235294,140.0248476470588,0.003348235294117647
35,1,5,1.13862,0.032532,0.0065062857142857144,160.11142457142856,0.0035382857142857143
36,1,5,1.25864,0.03496222222222222,0.0069925000000000005,145.88482,0.0039811111111111115
37,1,5,1.6346100000000003,0.04417864864864866,0.008835945945945948,115.45234324324325,0.0038321621621621622
38,1,5,1.3290600000000004,0.034975263157894745,0.006994473684210525,148.6431592105263,0.0035836842105263157
39,1,5,1.3147799999999998,0.03371230769230769,0.006741282051282052,152.92049487179486,0.003916666666666667
40,1,5,1.47824,0.036956,0.00739075,140.34986775,0.004649499999999999
41,1,5,1.60346,0.03910878048780488,0.007821463414634145,132.11912634146339,0.004030487804878048
42,1,5,1.65177,0.039327857142857144,0.007865000000000002,131.0534166666667,0.0038314285714285716
43,1,5,1.51348,0.03519720930232558,0.00703906976744186,148.3601846511628,0.0036741860465116277
44,1,5,1.9497400000000003,0.044312272727272735,0.0088625,115.40087590909091,0.003736136363636364
45,1,5,1.8793900000000001,0.04176422222222222,0.008352888888888887,125.13054555555557,0.004725555555555556
46,1,5,1.8270300000000004,0.03971804347826088,0.00794413043478261,136.68013217391305,0.0037706521739130426
47,1,5,1.9974699999999996,0.042499361702127654,0.008499148936170212,122.50293829787236,0.004925744680851065
48,1,5,1.76613,0.036794375,0.0073593750000000005,141.73326708333335,0.00394
49,1,5,2.0373600000000005,0.04157877551020409,0.008315510204081632,125.19696306122448,0.0049444897959183675
50,1,5,1.98627,0.0397254,0.0079446,130.5215848,0.004049800000000001
51,1,5,2.4850800000000004,0.04872705882352942,0.009745098039215687,108.19407235294115,0.004531372549019608
52,1,5,1.8219599999999998,0.035037692307692304,0.0070075,152.27745865384614,0.0038082692307692314
53,1,5,2.58239,0.04872433962264151,0.009744150943396226,109.06895320754715,0.004056981132075472
54,1,5,2.3429100000000003,0.04338722222222223,0.008677407407407408,121.8185475925926,0.0038216666666666677
55,1,5,2.51096,0.04565381818181818,0.00913090909090909,115.29630872727273,0.004356909090909091
56,1,5,2.28516,0.04080642857142857,0.008160714285714285,127.06977714285713,0.004767142857142857
57,1,5,2.72986,0.047892280701754386,0.009578070175438597,108.49159140350876,0.004974736842105263
58,1,5,2.74362,0.047303793103448274,0.009460344827586205,113.92379879310344,0.0048762068965517245
59,1,5,2.78946,0.04727898305084746,0.00945627118644068,115.70358220338981,0.0041166101694915256
60,1,5,2.87092,0.047848666666666664,0.009570166666666666,112.47987550000002,0.004333833333333333
