numero_clientes,numero_servidores,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg,Throughput_medio,tempo_resposta_servidor
1,10,5,0.05781,0.05781,0.01156,86.48866,0.00485
1,10,5,0.05781,0.05781,0.01156,86.48866,0.00485
2,10,5,0.13943,0.069715,0.013940000000000001,73.87550999999999,0.0047150000000000004
3,10,5,0.21113,0.07037666666666667,0.014073333333333334,72.49667999999998,0.004626666666666667
4,10,5,0.27531,0.0688275,0.013765000000000001,73.84773249999999,0.00454
5,10,5,0.35802,0.071604,0.01432,71.16873,0.004542
1,10,5,0.05781,0.05781,0.01156,86.48866,0.00485
2,10,5,0.13943,0.069715,0.013940000000000001,73.87550999999999,0.0047150000000000004
3,10,5,0.21113,0.07037666666666667,0.014073333333333334,72.49667999999998,0.004626666666666667
4,10,5,0.27531,0.0688275,0.013765000000000001,73.84773249999999,0.00454
5,10,5,0.35802,0.071604,0.01432,71.16873,0.004542
6,10,5,0.44886000000000004,0.07481,0.014961666666666667,68.48106666666666,0.004588333333333333
7,10,5,0.53559,0.07651285714285715,0.015302857142857144,66.93392857142857,0.004774285714285715
8,10,5,0.6132900000000001,0.07666125000000001,0.015332499999999999,66.61053625,0.0047475
9,10,5,0.66922,0.07435777777777779,0.014872222222222222,69.14256333333333,0.004713333333333334
10,10,5,0.7499800000000001,0.07499800000000001,0.015000000000000003,68.41964599999999,0.004697000000000001
11,10,5,0.82599,0.07509,0.01501818181818182,68.18009636363635,0.00469909090909091
12,10,5,0.8956900000000001,0.07464083333333334,0.01492833333333333,68.47644416666667,0.004641666666666667
13,10,5,0.9781400000000001,0.07524153846153847,0.015048461538461537,67.87411384615385,0.0047184615384615386
14,10,5,1.05943,0.07567357142857144,0.015134999999999997,67.41949,0.004693571428571429
15,10,5,1.11952,0.07463466666666667,0.014927333333333332,68.47240533333333,0.004655333333333333
16,10,5,1.17364,0.0733525,0.014670625,69.967218125,0.0046425
17,10,5,1.2396699999999998,0.07292176470588234,0.01458470588235294,70.30568352941178,0.0046064705882352935
18,10,5,1.29786,0.07210333333333334,0.014421111111111114,71.17337722222221,0.004635
19,10,5,1.36911,0.07205842105263158,0.014412105263157896,71.12067631578948,0.00460421052631579
20,10,5,1.4546,0.07272999999999999,0.0145465,70.489093,0.0045815000000000005
21,10,5,1.5155,0.07216666666666667,0.014433809523809526,71.04196857142858,0.004597619047619047
