numero_clientes,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg,Throughput_medio,tempo_resposta_servidor
1,5,0.0070357322692871,0.0070357322692871,0.0014071464538574,710.6580820060997,0.0008147954940795
2,5,0.0121738910675048,0.0060869455337524,0.00121738910675045,823.4822334076018,0.00075268745422355
3,5,0.0206205844879149,0.0068735281626383,0.0013747056325276333,727.6193239829126,0.0007653832435607667
4,5,0.0321207046508787,0.008030176162719675,0.0016060352325439002,624.8695222672907,0.0009924471378326
5,5,0.0416722297668455,0.0083344459533691,0.0016668891906737998,602.6718537743704,0.00110999345779414
6,5,0.053565979003905896,0.00892766316731765,0.0017855326334634833,563.020589712245,0.0011817912260690666
7,5,0.0702638626098631,0.01003769465855187,0.002007538931710329,498.9150292415462,0.001361540385654943
8,5,0.10220980644226049,0.012776225805282562,0.0025552451610564627,393.6248713828411,0.001813001930713625
9,5,0.127207517623901,0.01413416862487789,0.0028268337249755335,355.15090500496547,0.0019369986322190667
10,5,0.1604545116424556,0.01604545116424556,0.00320909023284907,313.64821779076203,0.00233521461486811
11,5,0.19400262832641538,0.01763660257512867,0.003527320515025691,286.69502231821843,0.0023036274042996002
12,5,0.24275851249694774,0.020229876041412312,0.004045975208282408,250.6346697672989,0.002876137693722983
13,5,0.3097529411315911,0.023827149317814697,0.004765429863562892,212.4082922419488,0.003138858538407508
14,5,0.3479342460632317,0.024852446147373693,0.0049704892294746925,203.94582718368096,0.00344667264393395
15,5,0.4875895977020257,0.032505973180135046,0.006501194636026966,159.48518498976324,0.004691223303476913
16,5,0.4665048122405999,0.029156550765037495,0.005831310153007451,180.93054983315494,0.0044036023318767
17,5,0.6138653755187978,0.03610972797169399,0.007221945594338759,140.8059923862366,0.004650652408599812
18,5,0.6883676052093497,0.03824264473385276,0.0076485289467705065,135.8652943339529,0.0048936075634426115
19,5,1.326614379882812,0.06982180946751643,0.013964361893503247,74.10224288134218,0.008697936409398074
20,5,0.9580047130584708,0.04790023565292354,0.00958004713058468,109.46497119826454,0.0061590820550918145
21,5,0.8857405185699452,0.04217811993190215,0.0084356239863804,126.32780196699593,0.0063072499774750775
22,5,0.963088274002074,0.043776739727367,0.008755347945473363,121.35388938247446,0.00525548783215605
23,5,1.0848805904388414,0.047168721323427885,0.009433744264685536,110.90707393512164,0.007232165854910095
24,5,1.3492407798767077,0.05621836582819615,0.011243673165639198,93.53411370750489,0.007893485327561645
25,5,1.4486379623413077,0.05794551849365231,0.01158910369873042,91.72313206504545,0.0077732133865356014
26,5,1.5540788173675524,0.05977226220644432,0.011954452441288822,90.72123238354935,0.008186620015364366
27,5,1.585980415344237,0.05874001538311989,0.011748003076623935,93.78891928109431,0.008288805131558968
28,5,1.3129966259002677,0.046892736639295274,0.009378547327859008,119.2174486906696,0.007358970386641316
29,5,2.144082307815551,0.07393387268329486,0.014786774536658939,74.73461766733102,0.011945140772852343
30,5,1.2776496410369864,0.04258832136789955,0.008517664273579861,129.62498618282908,0.006216951211293493
31,5,1.9430921077728263,0.06268039057331698,0.01253607811466334,91.5658522618149,0.010025414728349212
32,5,2.6771426200866686,0.0836607068777084,0.01673214137554164,66.31152740133935,0.008380556479096366
33,5,2.3197572231292716,0.07029567342815975,0.014059134685631908,79.84761413442442,0.009038298419027558
34,5,2.5703189373016344,0.07559761580298925,0.01511952316059781,76.4607088289981,0.010888874530792191
35,5,2.767849683761596,0.0790814195360456,0.015816283907209083,70.92455626268497,0.009470166478838195
36,5,2.1533069610595685,0.05981408225165468,0.011962816450330895,95.29023387226306,0.008379416333304463
37,5,1.901844263076781,0.051401196299372454,0.010280239259874457,128.519055370685,0.007946887531795966
38,5,2.952094316482543,0.0776866925390143,0.015537338507802811,72.32946369325354,0.010322010830828976
39,5,1.8987514972686756,0.04868593582740194,0.009737187165480348,128.8988459411282,0.007054333503429657
40,5,2.941410779953001,0.07353526949882502,0.014707053899764965,87.38649493019219,0.01142244637012477
41,5,2.8078358173370344,0.0684838004228545,0.013696760084570856,129.6515462149629,0.009609548056997853
42,5,3.675097942352293,0.08750233196076888,0.01750046639215373,65.37701570330252,0.014580194439206752
43,5,2.583718776702879,0.06008648317913672,0.012017296635827308,107.68187704561171,0.009428379147551737
44,5,3.432057857513426,0.07800131494348696,0.015600262988697348,79.85335326843365,0.012466761198910752
45,5,4.55073308944702,0.10112740198771154,0.020225480397542264,59.70547587626676,0.0168834182951185
46,5,3.889880180358886,0.08456261261649752,0.016912522523299448,66.04170717584859,0.012069424857263934
47,5,4.11269688606262,0.08750418906516214,0.017500837813032386,67.23281823119179,0.014369634871787164
48,5,6.662005901336668,0.13879178961118058,0.027758357922236077,40.709659478234165,0.022249472637971186
49,5,3.648008823394773,0.07444915966111781,0.014889831932223523,83.52692325583929,0.010781491289333365
50,5,3.815162658691404,0.07630325317382808,0.015260650634765576,80.68329479364866,0.011805243492126425
51,5,4.558735609054564,0.08938697272656007,0.017877394545311977,63.044553211457675,0.012548584564059335
52,5,4.2249691486358625,0.08124940670453581,0.016249881340907123,77.46012163263998,0.011925074916619472
53,5,5.311144828796385,0.10021027978861104,0.020042055957722165,56.590203982951536,0.015487529196829117
54,5,4.562949180603026,0.08449905890005603,0.01689981178001116,69.28214970772346,0.013210884950779054
55,5,4.22369575500488,0.076794468272816,0.01535889365456316,73.6111544988567,0.01201884638179428
56,5,3.4157159328460667,0.06099492737225119,0.012198985474450197,89.36329909814103,0.009294315108231086
57,5,4.717637062072752,0.08276556249250443,0.016553112498500836,69.4242592359445,0.013380993876540815
58,5,3.9786322116851784,0.06859710709802032,0.013719421419604022,84.37561527344327,0.01032971616449023
59,5,3.9425580501556374,0.0668230177992481,0.013364603559849574,79.55485269589917,0.009508444091020956
60,5,7.849212408065794,0.13082020680109657,0.02616404136021928,46.39174376554497,0.01931206087271368
61,5,4.23283004760742,0.06939065651815443,0.013878131303630843,90.1954890049695,0.010732151445795228
62,5,8.64492583274841,0.13943428762497434,0.027886857524994837,40.75302765472626,0.01704356362742758
63,5,5.657473325729368,0.08980116390046616,0.01796023278009319,68.99380563007509,0.013942838661254352
64,5,7.881644010543821,0.1231506876647472,0.024630137532949396,59.068042278201695,0.019624916836619332
65,5,6.266563177108763,0.09640866426321174,0.019281732852642303,55.49437601063201,0.013700508154355518
66,5,7.750177383422849,0.11742693005186135,0.02348538601037223,49.33781668526858,0.015382709828290025
67,5,5.765229463577269,0.08604820094891445,0.017209640189782858,69.28241565817261,0.013489680503731293
68,5,4.734599828720089,0.06962646806941308,0.013925293613882582,96.95493601689878,0.01076902712092675
69,5,12.77814269065857,0.18519047377766043,0.03703809475553205,31.79779770302606,0.031048743621162708
70,5,4.585655450820919,0.065509363583156,0.01310187271663116,79.02984221420616,0.009200540610722088
71,5,5.871411800384519,0.08269594085048618,0.01653918817009719,68.84862259131756,0.013425734681142838
72,5,6.890792131423947,0.09570544626977703,0.01914108925395537,58.17008858767141,0.014789708786540508
73,5,5.131199121475216,0.07029039892431803,0.014058079784863564,79.24408326622773,0.009995235972208475
74,5,7.4441704750061,0.10059689831089325,0.020119379662178614,57.334556871364455,0.013622474831503745
75,5,6.878468513488766,0.09171291351318354,0.018342582702636685,58.72792165163882,0.014320480823516798
76,5,6.033153295516964,0.07938359599364427,0.015876719198728805,70.56113357736142,0.011446052475979407
77,5,8.392825365066525,0.10899773201385098,0.021799546402770154,52.80759307726873,0.016905181593709136
78,5,5.412144899368283,0.06938647306882413,0.013877294613764789,80.19334210983297,0.009707503593884937
79,5,7.283019781112667,0.09219012381155275,0.018438024762310507,56.27541165129763,0.01175888052469562
80,5,7.143243551254269,0.08929054439067836,0.017858108878135638,63.77126916665522,0.012880525738000826
81,5,6.817822694778439,0.08417065055282023,0.016834130110564005,63.39691265332557,0.012700502519254283
82,5,6.411202430725094,0.07818539549664749,0.015637079099329463,66.6615828062089,0.012126646390775308
83,5,6.560531377792355,0.07904254672038982,0.015808509344077928,69.36522860423206,0.012011184749833027
84,5,7.022167205810543,0.0835972286406017,0.016719445728120296,63.39466382118365,0.01244154572486873
