numero_clientes,msgs_por_cliente,tempo_todos_clientes,tempo_por_cliente,tempo_medio_por_msg
1,5,0.0076212882995605,0.0076212882995605,0.0015242576599121
2,5,0.0145988464355468,0.0072994232177734,0.00145988464355465
3,5,0.0248193740844726,0.0082731246948242,0.0016546249389648002
4,5,0.0353333950042723,0.008833348751068075,0.001766669750213575
5,5,0.057138919830322,0.0114277839660644,0.0022855567932128402
6,5,0.0736305713653563,0.012271761894226052,0.0024543523788451665
7,5,0.0882890224456783,0.012612717492239757,0.0025225434984479
8,5,0.1313772201538081,0.016422152519226012,0.0032844305038451623
9,5,0.1570432186126706,0.017449246512518956,0.0034898493025037327
10,5,0.21648049354553178,0.021648049354553178,0.0043296098709106
11,5,0.26537990570068304,0.02412544597278937,0.004825089194557827
12,5,0.2765443325042719,0.02304536104202266,0.004609072208404491
13,5,0.3739340305328362,0.028764156194833555,0.0057528312389666615
14,5,0.4986538887023921,0.03561813490731372,0.0071236269814626925
15,5,0.5082123279571528,0.03388082186381018,0.006776164372762
16,5,0.5489017963409413,0.03430636227130883,0.006861272454261725
17,5,0.6071612834930412,0.035715369617237716,0.007143073923447506
18,5,0.6770529747009271,0.03761405415005151,0.007522810830010263
19,5,0.8562066555023184,0.04506350818433255,0.00901270163686648
20,5,0.8771691322326652,0.04385845661163326,0.008771691322326611
21,5,0.9173128604888905,0.04368156478518526,0.008736312957037027
22,5,1.3069319725036614,0.05940599875016643,0.01188119975003324
23,5,1.2499451637268058,0.05434544190116547,0.010869088380233052
24,5,1.007437467575072,0.04197656114896133,0.008395312229792224
25,5,1.6225864887237542,0.06490345954895017,0.012980691909789987
26,5,1.3498358726501452,0.05191676433269789,0.01038335286653953
27,5,1.7936265468597405,0.06643061284665706,0.013286122569331383
28,5,1.232255458831786,0.044009123529706644,0.008801824705941283
29,5,1.579543352127074,0.0544670121423129,0.01089340242846253
30,5,1.5636208057403551,0.052120693524678505,0.010424138704935658
31,5,2.030687808990477,0.06550605835453152,0.013101211670906263
32,5,2.8679950237274157,0.08962484449148174,0.017924968898296312
33,5,2.2178959846496564,0.06720896923180777,0.013441793846361518
34,5,2.5948612689971915,0.07631944908815269,0.01526388981763049
35,5,2.7469866275787336,0.07848533221653524,0.015697066443307015
36,5,4.504814624786375,0.12513373957739932,0.025026747915479826
37,5,1.9816596508026108,0.0535583689406111,0.010711673788122178
38,5,2.196147203445433,0.05779334745909034,0.011558669491818028
39,5,2.6509871482849103,0.06797402944320283,0.013594805888640525
40,5,2.1280543804168683,0.05320135951042171,0.0106402719020843
41,5,2.48284602165222,0.060557220040298045,0.012111444008059568
42,5,2.4932274818420392,0.05936255909147713,0.011872511818295387
43,5,2.6182181835174543,0.06088879496552219,0.012177758993104401
44,5,2.4022552967071515,0.0545967112887989,0.010919342257759744
45,5,4.5429177284240705,0.10095372729831267,0.02019074545966249
46,5,2.8292329311370827,0.061505063720371365,0.012301012744074235
47,5,2.8150219917297346,0.05989408493041989,0.011978816986083928
48,5,2.6924469470977757,0.05609264473120366,0.01121852894624069
49,5,2.5526156425476056,0.05209419678668583,0.010418839357337124
50,5,2.8118870258331277,0.056237740516662554,0.011247548103332467
51,5,3.274084806442259,0.0641977413027894,0.012839548260557838
52,5,2.862210988998411,0.05504251901920021,0.011008503803839999
53,5,3.6282985210418683,0.06845846266116733,0.013691692532233435
54,5,3.4386088848113996,0.06367794231132222,0.0127355884622644
55,5,3.1117138862609846,0.05657661611383608,0.011315323222767178
56,5,3.806703329086301,0.06797684516225537,0.013595369032451036
57,5,4.520281076431273,0.07930317677949601,0.015860635355899166
58,5,3.1581380367279026,0.054450655805653496,0.010890131161130658
59,5,4.369367361068723,0.07405707391641904,0.01481141478328376
60,5,4.450114250183104,0.07416857083638506,0.014833714167276975
61,5,3.371017217636106,0.05526257733829682,0.011052515467659323
62,5,3.6188497543334934,0.05836854442473376,0.01167370888494671
63,5,4.548724412918089,0.07220197480822363,0.014440394961644688
64,5,5.363178730010983,0.0837996676564216,0.016759933531284278
65,5,4.478916168212887,0.06890640258789058,0.013781280517578076
66,5,4.551328420639035,0.06895952152483387,0.013791904304966728
67,5,3.802299499511716,0.05675073879868233,0.011350147759736428
68,5,4.2231774330139125,0.06210555048549871,0.0124211100970997
69,5,9.594995498657225,0.13905790577764093,0.027811581155528155
70,5,5.02256870269775,0.07175098146711072,0.014350196293422103
71,5,4.691669940948483,0.06607985832321807,0.013215971664643578
72,5,7.6137726306915265,0.10574684209293787,0.021149368418587538
73,5,6.1524307727813685,0.08427987359974477,0.016855974719948912
74,5,6.815022230148313,0.09209489500200423,0.018418979000400803
75,5,4.3568985462188685,0.05809198061625158,0.011618396123250274
76,5,5.684495687484738,0.07479599588795707,0.014959199177591377
77,5,6.420205831527706,0.08337929651334684,0.016675859302669325
78,5,5.8348979949951145,0.07480638455121942,0.014961276910243845
79,5,4.476852178573605,0.05666901491865323,0.011333802983730604
80,5,6.328940391540524,0.07911175489425655,0.01582235097885127
81,5,9.216591835021969,0.11378508438298728,0.022757016876597414
82,5,6.08515906333923,0.07420925686999061,0.014841851373998086
83,5,6.508997917175289,0.07842166165271433,0.01568433233054282
84,5,6.273056507110592,0.07467924413226895,0.014935848826453749
85,5,5.8555815219879115,0.06888919437632837,0.013777838875265633
86,5,7.584946393966672,0.08819705109263572,0.017639410218527104
87,5,7.381066560745237,0.08483984552580731,0.016967969105161424
88,5,6.6273381710052455,0.07531066103415052,0.01506213220683006
89,5,8.491727828979489,0.0954126722357246,0.019082534447144875
