end_time,client_id,server_ip,server_port,num_messages,tempo_total_segundos,tempo_medio_por_msg,mensagens_enviadas
2025-06-22T00:29:16.869688,40056,127.0.0.1,8085,5,0.007476091384887695,0.001495218276977539,5
2025-06-22T00:29:16.932198,40063,127.0.0.1,8085,5,0.008011102676391602,0.0016022205352783203,5
2025-06-22T00:29:16.933990,40064,127.0.0.1,8085,5,0.007615566253662109,0.0015231132507324218,5
2025-06-22T00:29:16.999518,40071,127.0.0.1,8085,5,0.008055925369262695,0.001611185073852539,5
2025-06-22T00:29:17.000479,40075,127.0.0.1,8085,5,0.007990121841430664,0.001598024368286133,5
2025-06-22T00:29:17.000480,40076,127.0.0.1,8085,5,0.007944583892822266,0.001588916778564453,5
2025-06-22T00:29:17.067002,40089,127.0.0.1,8085,5,0.008280515670776367,0.0016561031341552734,5
2025-06-22T00:29:17.067111,40084,127.0.0.1,8085,5,0.009320497512817383,0.0018640995025634766,5
2025-06-22T00:29:17.067660,40092,127.0.0.1,8085,5,0.008950948715209961,0.0017901897430419923,5
2025-06-22T00:29:17.067807,40091,127.0.0.1,8085,5,0.009074211120605469,0.0018148422241210938,5
2025-06-22T00:29:17.137291,40105,127.0.0.1,8085,5,0.009650945663452148,0.0019301891326904297,5
2025-06-22T00:29:17.139113,40108,127.0.0.1,8085,5,0.009859561920166016,0.001971912384033203,5
2025-06-22T00:29:17.139113,40102,127.0.0.1,8085,5,0.010653495788574219,0.0021306991577148436,5
2025-06-22T00:29:17.141487,40112,127.0.0.1,8085,5,0.011566162109375,0.002313232421875,5
2025-06-22T00:29:17.141475,40111,127.0.0.1,8085,5,0.011081695556640625,0.002216339111328125,5
2025-06-22T00:29:17.215974,40124,127.0.0.1,8085,5,0.010955333709716797,0.0021910667419433594,5
2025-06-22T00:29:17.217312,40131,127.0.0.1,8085,5,0.010663270950317383,0.0021326541900634766,5
2025-06-22T00:29:17.218438,40129,127.0.0.1,8085,5,0.011748313903808594,0.002349662780761719,5
2025-06-22T00:29:17.219531,40128,127.0.0.1,8085,5,0.011139869689941406,0.002227973937988281,5
2025-06-22T00:29:17.219607,40135,127.0.0.1,8085,5,0.01209259033203125,0.00241851806640625,5
2025-06-22T00:29:17.223085,40136,127.0.0.1,8085,5,0.012521982192993164,0.002504396438598633,5
2025-06-22T00:29:17.300472,40152,127.0.0.1,8085,5,0.012916088104248047,0.002583217620849609,5
2025-06-22T00:29:17.302311,40154,127.0.0.1,8085,5,0.013690948486328125,0.002738189697265625,5
2025-06-22T00:29:17.306631,40164,127.0.0.1,8085,5,0.015112638473510742,0.0030225276947021484,5
2025-06-22T00:29:17.313448,40148,127.0.0.1,8085,5,0.016518592834472656,0.003303718566894531,5
2025-06-22T00:29:17.314878,40160,127.0.0.1,8085,5,0.015789508819580078,0.003157901763916016,5
2025-06-22T00:29:17.315407,40162,127.0.0.1,8085,5,0.0170590877532959,0.00341181755065918,5
