end_time,client_id,server_ip,server_port,num_messages,tempo_total_segundos,tempo_medio_por_msg,mensagens_enviadas
2025-06-21T23:23:16.289887,15043,127.0.0.1,8085,10,0.008880853652954102,0.0008880853652954102,10
2025-06-21T23:23:22.752912,15146,127.0.0.1,8085,10,0.009505033493041992,0.0009505033493041992,10
2025-06-21T23:23:24.638954,15247,127.0.0.1,8085,10,0.009104728698730469,0.0009104728698730469,10
2025-06-21T23:23:25.688782,15348,127.0.0.1,8085,10,0.01108407974243164,0.001108407974243164,10
2025-06-21T23:23:26.615075,15449,127.0.0.1,8085,10,0.012881755828857422,0.0012881755828857422,10
2025-06-21T23:23:27.558961,15550,127.0.0.1,8085,10,0.009896278381347656,0.0009896278381347657,10
