end_time,client_id,server_ip,server_port,num_messages,tempo_total_segundos,tempo_medio_por_msg,mensagens_enviadas
2025-06-22T00:01:39.233238,16494,127.0.0.1,8085,10,0.013691902160644531,0.0013691902160644532,10
2025-06-22T00:01:43.955215,16600,127.0.0.1,8085,10,0.01020050048828125,0.001020050048828125,10
2025-06-22T00:24:19.410190,20433,127.0.0.1,8085,100,0.22495388984680176,0.0022495388984680176,100
2025-06-22T00:24:19.411006,20456,127.0.0.1,8085,100,0.21954345703125,0.0021954345703125,100
2025-06-22T00:24:19.413177,20435,127.0.0.1,8085,100,0.22972369194030762,0.002297236919403076,100
2025-06-22T00:24:19.416731,20448,127.0.0.1,8085,100,0.22890400886535645,0.0022890400886535645,100
2025-06-22T00:24:19.418621,20441,127.0.0.1,8085,100,0.22649478912353516,0.0022649478912353514,100
2025-06-22T00:24:19.419316,20450,127.0.0.1,8085,100,0.2294306755065918,0.002294306755065918,100
2025-06-22T00:24:19.422994,20454,127.0.0.1,8085,100,0.2306833267211914,0.002306833267211914,100
2025-06-22T00:24:19.422994,20438,127.0.0.1,8085,100,0.23872065544128418,0.002387206554412842,100
2025-06-22T00:24:19.423941,20444,127.0.0.1,8085,100,0.2336745262145996,0.002336745262145996,100
2025-06-22T00:24:19.426937,20457,127.0.0.1,8085,100,0.23463225364685059,0.002346322536468506,100
2025-06-22T00:24:31.105859,20575,127.0.0.1,8085,5,0.007678031921386719,0.0015356063842773438,5
2025-06-22T00:24:31.172619,20583,127.0.0.1,8085,5,0.008899211883544922,0.0017798423767089843,5
2025-06-22T00:24:31.173590,20582,127.0.0.1,8085,5,0.010399580001831055,0.0020799160003662108,5
2025-06-22T00:24:31.240007,20595,127.0.0.1,8085,5,0.008296966552734375,0.001659393310546875,5
2025-06-22T00:24:31.240012,20590,127.0.0.1,8085,5,0.007969141006469727,0.0015938282012939453,5
2025-06-22T00:24:31.240009,20594,127.0.0.1,8085,5,0.008126974105834961,0.001625394821166992,5
2025-06-22T00:24:31.314830,20604,127.0.0.1,8085,5,0.008596420288085938,0.0017192840576171875,5
