numero_clientes,numero_servidores,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg,Throughput_medio,tempo_resposta_servidor
1,1,5,0.05781,0.05781,0.01156,86.48866,0.00485
2,1,5,0.13943,0.069715,0.013940000000000001,73.87550999999999,0.0047150000000000004
3,1,5,0.21113,0.07037666666666667,0.014073333333333334,72.49667999999998,0.004626666666666667
4,1,5,0.27531,0.0688275,0.013765000000000001,73.84773249999999,0.00454
5,1,5,0.35802,0.071604,0.01432,71.16873,0.004542
6,1,5,0.44886000000000004,0.07481,0.014961666666666667,68.48106666666666,0.004588333333333333
7,1,5,0.53559,0.07651285714285715,0.015302857142857144,66.93392857142857,0.004774285714285715
8,1,5,0.6132900000000001,0.07666125000000001,0.015332499999999999,66.61053625,0.0047475
9,1,5,0.66922,0.07435777777777779,0.014872222222222222,69.14256333333333,0.004713333333333334
10,1,5,0.7499800000000001,0.07499800000000001,0.015000000000000003,68.41964599999999,0.004697000000000001
11,1,5,0.82599,0.07509,0.01501818181818182,68.18009636363635,0.00469909090909091
12,1,5,0.8956900000000001,0.07464083333333334,0.01492833333333333,68.47644416666667,0.004641666666666667
13,1,5,0.9781400000000001,0.07524153846153847,0.015048461538461537,67.87411384615385,0.0047184615384615386
14,1,5,1.05943,0.07567357142857144,0.015134999999999997,67.41949,0.004693571428571429
15,1,5,1.11952,0.07463466666666667,0.014927333333333332,68.47240533333333,0.004655333333333333
16,1,5,1.17364,0.0733525,0.014670625,69.967218125,0.0046425
17,1,5,1.2396699999999998,0.07292176470588234,0.01458470588235294,70.30568352941178,0.0046064705882352935
18,1,5,1.29786,0.07210333333333334,0.014421111111111114,71.17337722222221,0.004635
19,1,5,1.36911,0.07205842105263158,0.014412105263157896,71.12067631578948,0.00460421052631579
20,1,5,1.4546,0.07272999999999999,0.0145465,70.489093,0.0045815000000000005
21,1,5,1.5155,0.07216666666666667,0.014433809523809526,71.04196857142858,0.004597619047619047
22,1,5,1.56843,0.07129227272727273,0.01425909090909091,72.10664727272727,0.004562272727272728
23,1,5,1.6402999999999999,0.07131739130434782,0.014263913043478262,71.99626695652174,0.004578260869565217
24,1,5,1.72724,0.07196833333333334,0.014394166666666666,71.39263166666666,0.004585416666666667
25,1,5,1.81937,0.0727748,0.014555600000000002,70.70768,0.0046568
26,1,5,1.90585,0.07330192307692308,0.014661153846153848,70.21182653846152,0.004659999999999999
27,1,5,1.9900900000000001,0.07370703703703704,0.014742222222222224,69.80971962962963,0.004657777777777778
28,1,5,2.0775099999999997,0.0741967857142857,0.014840000000000002,69.35919821428571,0.004709642857142857
29,1,5,2.16131,0.07452793103448276,0.014906206896551725,69.02495482758621,0.0046979310344827585
30,1,5,2.24936,0.07497866666666667,0.014996333333333335,68.61703033333333,0.004733
31,1,5,2.3501499999999997,0.07581129032258063,0.015162903225806452,68.00379322580646,0.004778387096774194
32,1,5,2.45243,0.0766384375,0.0153284375,67.4062803125,0.0048159375
33,1,5,2.54404,0.07709212121212121,0.015419090909090907,67.0176093939394,0.0048460606060606055
34,1,5,2.6444900000000002,0.07777911764705883,0.015556470588235293,66.51054911764706,0.004871176470588235
35,1,5,2.74408,0.07840228571428572,0.015681142857142855,66.04475085714286,0.0048922857142857145
36,1,5,2.8482399999999997,0.07911777777777777,0.015824166666666667,65.54364000000001,0.0049119444444444445
37,1,5,2.9412199999999995,0.07949243243243242,0.01589918918918919,65.22554216216217,0.004928378378378379
38,1,5,3.0286799999999996,0.07970210526315788,0.015941052631578946,65.01361315789474,0.004942368421052632
39,1,5,3.12354,0.08009076923076923,0.01601871794871795,64.69810666666666,0.004956153846153846
40,1,5,3.21439,0.08035975,0.0160725,64.456618,0.004968749999999999
41,1,5,3.31377,0.08082365853658537,0.016165365853658537,64.11165097560976,0.00500390243902439
42,1,5,3.4137899999999997,0.08128071428571428,0.01625666666666667,63.775401190476195,0.005069285714285714
43,1,5,3.5063799999999996,0.08154372093023254,0.016309302325581396,63.54809906976745,0.005137674418604651
44,1,5,3.6023799999999992,0.08187227272727271,0.016375,63.28749977272727,0.005182727272727273
45,1,5,3.6983199999999994,0.08218488888888888,0.016437555555555556,63.039280444444444,0.005244666666666667
46,1,5,3.794009999999999,0.08247847826086954,0.016496304347826087,62.80481217391305,0.005295434782608696
47,1,5,3.89911,0.08295978723404256,0.016592553191489362,62.48071404255319,0.005353829787234043
48,1,5,4.002,0.08337499999999999,0.016675625,62.19147708333333,0.0054154166666666665
49,1,5,4.09704,0.08361306122448979,0.01672326530612245,61.99588020408163,0.005481836734693878
50,1,5,4.18154,0.0836308,0.0167268,61.9393576,0.0055086
51,1,5,4.27471,0.08381784313725489,0.016764117647058825,61.777161568627456,0.005549019607843137
52,1,5,4.36087,0.08386288461538462,0.016773076923076922,61.705109615384615,0.005584807692307693
53,1,5,4.4463099999999995,0.08389264150943396,0.016779056603773584,61.64499509433963,0.00560188679245283
54,1,5,4.53548,0.08399037037037037,0.016798518518518518,61.541828518518514,0.005627222222222223
55,1,5,4.62004,0.08400072727272728,0.016800545454545453,61.49799781818181,0.005638545454545454
56,1,5,4.7082,0.084075,0.016815357142857142,61.41255214285714,0.005677857142857143
57,1,5,4.78904,0.08401824561403509,0.0168040350877193,61.420277543859655,0.005691228070175439
58,1,5,4.871529999999999,0.08399189655172412,0.016798793103448277,61.40638155172414,0.005710689655172414
59,1,5,4.9546,0.08397627118644067,0.016795593220338984,61.38572135593221,0.005729152542372881
