numero_clientes,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg
1,5,0.0067689418792724,0.0067689418792724,0.0013537883758544
2,5,0.014580726623535,0.0072903633117675,0.00145807266235345
3,5,0.023661613464355302,0.007887204488118435,0.0015774408976236666
4,5,0.0376203060150144,0.0094050765037536,0.0018810153007506498
5,5,0.0654118061065671,0.013082361221313421,0.0026164722442626404
6,5,0.0791862010955807,0.013197700182596783,0.0026395400365193168
7,5,0.1324782371520994,0.018925462450299912,0.003785092490059957
8,5,0.1416981220245358,0.017712265253066975,0.0035424530506133495
9,5,0.16158556938171328,0.0179539521535237,0.003590790430704689
10,5,0.2054674625396724,0.02054674625396724,0.00410934925079342
11,5,0.2519776821136471,0.02290706201033155,0.004581412402066264
12,5,0.3215994834899898,0.02679995695749915,0.0053599913914997915
13,5,0.39339852333068787,0.030261424871591374,0.006052284974318253
14,5,0.44018983840942305,0.031442131314958786,0.006288426262991714
15,5,0.5381884574890129,0.03587923049926753,0.007175846099853461
16,5,0.6371591091155996,0.039822444319724974,0.007964488863944956
17,5,0.629180431365966,0.03701061360976271,0.007402122721952501
18,5,0.7220048904418939,0.040111382802327435,0.008022276560465462
19,5,0.712500572204589,0.037500030116031,0.007500006023206152
20,5,0.7990214824676508,0.03995107412338254,0.007990214824676458
21,5,0.974432706832885,0.046401557468232615,0.009280311493646472
22,5,0.8812761306762681,0.04005800593983037,0.00801160118796604
23,5,1.1671831607818597,0.05074709394703738,0.010149418789407436
24,5,1.3024542331695546,0.05426892638206477,0.010853785276412911
25,5,1.3869411945343002,0.05547764778137201,0.01109552955627436
26,5,1.2845847606658927,0.04940710617945741,0.00988142123589145
27,5,1.5059173107147208,0.05577471521165633,0.011154943042331231
28,5,1.5065131187438952,0.05380403995513911,0.010760807991027774
29,5,1.1876385211944567,0.040953052454981265,0.008190610490996212
30,5,1.6459131240844713,0.05486377080281571,0.0109727541605631
31,5,1.8028039932250965,0.05815496752339021,0.011630993504678002
32,5,1.898864746093749,0.05933952331542965,0.011867904663085894
33,5,1.9026165008544904,0.0576550454804391,0.01153100909608778
34,5,1.9826118946075422,0.05831211454728065,0.01166242290945609
35,5,1.892408847808837,0.05406882422310963,0.010813764844621885
36,5,1.6922032833099352,0.04700564675860931,0.009401129351721818
37,5,2.396047115325927,0.06475803014394396,0.012951606028788755
38,5,2.6398565769195543,0.06946990991893565,0.013893981983787086
39,5,2.5508706569671613,0.06540693992223491,0.01308138798444694
40,5,2.1850762367248517,0.05462690591812129,0.010925381183624221
41,5,2.2118773460388166,0.05394822795216626,0.010789645590433213
42,5,2.684002637863157,0.06390482471102754,0.01278096494220547
43,5,2.7549743652343732,0.0640691712845203,0.012813834256904019
44,5,3.0841405391693093,0.07009410316293885,0.01401882063258773
45,5,2.6988646984100324,0.0599747710757785,0.011994954215155658
46,5,2.9258480072021467,0.06360539146091623,0.012721078292183208
47,5,3.082484006881712,0.06558476610386621,0.0131169532207732
48,5,2.8755364418029767,0.05990700920422868,0.011981401840845693
49,5,3.2527060508728014,0.06638175614026125,0.013276351228052213
50,5,2.7946410179138166,0.055892820358276335,0.011178564071655215
51,5,2.7274718284606916,0.05347983977373905,0.010695967954747768
52,5,3.1037414073944065,0.05968733475758474,0.011937466951516913
53,5,3.699474334716795,0.06980140254182632,0.013960280508365223
54,5,2.985195636749265,0.055281400680541944,0.01105628013610835
55,5,3.137962341308592,0.05705386075106531,0.011410772150213012
56,5,3.8577160835266087,0.0688877872058323,0.013777557441166424
57,5,3.0065922737121555,0.05274723287214308,0.01054944657442858
58,5,2.681652307510373,0.046235384612247805,0.009247076922449528
59,5,3.24954032897949,0.05507695472846593,0.011015390945693149
60,5,4.029982328414914,0.06716637214024858,0.013433274428049676
61,5,3.8264820575714085,0.06272921405854769,0.012545842811709498
62,5,3.8210527896881077,0.0616298837046469,0.012325976740929336
63,5,4.559024333953855,0.07236546561831515,0.014473093123662989
64,5,3.7461380958557102,0.05853340774774547,0.011706681549549052
65,5,4.379853725433347,0.06738236500666688,0.013476473001333335
66,5,3.6508634090423557,0.05531611225821751,0.011063222451643468
67,5,3.2844152450561497,0.049021123060539545,0.009804224612107872
68,5,5.037181377410887,0.07407619672663068,0.014815239345326097
69,5,4.159966468811032,0.06028936911320336,0.012057873822640642
70,5,4.61048913002014,0.06586413042885914,0.013172826085771784
71,5,5.201314926147459,0.07325795670630224,0.014651591341260407
72,5,5.081695079803463,0.07057909833060366,0.014115819666120692
73,5,4.588048219680783,0.06284997561206551,0.012569995122413061
74,5,4.944398880004879,0.06681620108114701,0.013363240216229366
75,5,5.502926588058468,0.07337235450744624,0.014674470901489212
76,5,5.944938421249386,0.07822287396380771,0.015644574792761507
77,5,5.064541816711422,0.06577327034690159,0.013154654069380274
78,5,5.9959318637847865,0.07687092133057419,0.015374184266114801
79,5,5.769491672515866,0.07303154015842868,0.014606308031685696
80,5,5.607228755950924,0.07009035944938655,0.01401807188987727
81,5,6.471249341964718,0.07989196718474961,0.015978393436949876
82,5,6.10620546340942,0.07446592028548074,0.014893184057096108
83,5,6.569364547729489,0.07914897045457216,0.015829794090914385
84,5,6.191135406494137,0.07370399293445401,0.014740798586890763
85,5,5.4855229854583705,0.06453556453480436,0.012907112906960828
86,5,6.776268482208248,0.07879381956056103,0.015758763912112166
87,5,7.340830326080319,0.08437736006988872,0.01687547201397771
88,5,7.385841846466061,0.08393002098256887,0.016786004196513736
89,5,7.610672950744625,0.08551317922184973,0.017102635844369902
